State,County_x,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Youth_rate,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,POVALL_2018,PCTPOVALL_2018,POV017_2018,PCTPOV017_2018,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,have_confirmed_18,GEOID,AWATER,COUNTYFIPS,TotalHospitalsInCounty,TotalBedsInCounty,AREA,ATH,CTF,CTH,LEVEL 1,LEVEL 1 PEDIATRIC,LEVEL 3,LEVEL I,LEVEL I PEDIATRIC,"LEVEL I, LEVEL I PEDIATRIC","LEVEL I, LEVEL II PEDIATRIC","LEVEL I, LEVEL PEDIATRIC",LEVEL II,LEVEL II PEDIATRIC,"LEVEL II, LEVEL II PEDIATRIC","LEVEL II, LEVEL III PEDIATRIC","LEVEL II, LEVEL PEDIATRIC",LEVEL III,LEVEL III PEDIATRIC,"LEVEL III, LEVEL III PEDIATRIC",LEVEL IV,LEVEL PEDIATRIC,LEVEL V,NOT AVAILABLE,NOT DESIGNATED,PARC,REGIONAL TRAUMA CENTER,RPTC,RTC,RTH,TRAUMA SYSTEM HOSPITAL,TRF,TRH,UNCLASSIFIED,CHILDREN,CHRONIC DISEASE,CRITICAL ACCESS,GENERAL ACUTE CARE,LONG TERM CARE,MILITARY,PSYCHIATRIC,REHABILITATION,SPECIAL,WOMEN,NoOfAirports
AL,Autauga,2,2,4204,12119,10552,10291,11.3,32.6,28.4,27.7,0,55601,158,655,0.094368806,532,123,-2,37,35,0,455,11.79712546,9.5817874,2.215338064,-0.036021757,0.666402507,0.63038075,7587,13.8,2509,19.3,1,25957,25015,942,3.6,59338,118.9591,FALSE,1001,25706961,1001,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AL,Baldwin,3,2,14310,40579,46025,46075,9.7,27.6,31.3,31.3,5,218022,5403,2254,0.083785123,2228,26,118,5232,5350,27,2190,10.46811613,10.3473659,0.120750231,0.548020277,24.29866176,24.84668204,21069,9.8,6442,13.9,1,93849,90456,3393,3.6,57588,115.4508,TRUE,1003,1133055836,1003,4,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,23
AL,Barbour,6,6,4901,6486,4566,2220,27,35.7,25.1,12.2,3,24881,-277,261,0.093766328,324,-63,12,-227,-215,1,2820,10.43186315,12.94989908,-2.518035932,0.479625892,-9.07292312,-8.593297228,6788,30.9,2242,43.9,0,8373,7940,433,5.2,34382,68.928,FALSE,1005,50538698,1005,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
AL,Bibb,1,1,2650,7471,3846,1813,16.8,47.3,24.4,11.5,0,22400,-155,250,0.094330357,256,-6,10,-158,-148,-1,2151,11.12223334,11.38916695,-0.2669336,0.444889334,-7.029251474,-6.58436214,4400,21.8,1238,27.8,1,8661,8317,344,4,46064,92.3478,FALSE,1007,9602089,1007,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
AL,Blount,1,1,7861,13489,13267,5010,19.8,34,33.5,12.6,0,57840,13,681,0.097873444,662,19,8,-10,-2,-4,489,11.7751822,11.44665289,0.328529313,0.138328132,-0.172910165,-0.034582033,7527,13.2,2374,18,1,25006,24128,878,3.5,50412,101.0645,FALSE,1009,15015423,1009,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
AL,Bullock,6,6,1760,2817,1582,945,24.8,39.7,22.3,13.3,3,10138,-38,115,0.107812192,120,-5,-2,-30,-32,-1,1661,11.32224082,11.81451216,-0.49227134,-0.196908536,-2.95362804,-3.150536576,3610,42.5,1433,68.3,0,4776,4552,224,4.7,29267,58.6736,FALSE,1011,6054988,1011,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
AL,Butler,6,6,2141,6091,3421,2235,15.4,43.9,24.6,16.1,0,19680,-218,221,0.10152439,239,-18,17,-217,-200,0,333,11.16782051,12.07741675,-0.90959624,0.859063116,-10.96568801,-10.10662489,4731,24.5,1566,36.3,0,8914,8487,427,4.8,37365,74.9083,FALSE,1013,2701198,1013,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,40
AL,Calhoun,3,2,12620,25653,26643,14219,15.9,32.4,33.7,18,4,114277,-387,1293,0.096712374,1494,-201,71,-253,-182,-4,2739,11.29548661,13.05139752,-1.755910912,0.620247138,-2.210176421,-1.589929283,21719,19.5,6397,26.5,1,45972,43833,2139,4.7,45400,91.0166,TRUE,1015,16627597,1015,4,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,27
AL,Chambers,6,5,4383,9060,7003,3118,18.6,38.4,29.7,13.2,0,33615,-143,357,0.096445039,461,-104,20,-58,-38,-1,458,10.59771719,13.68500735,-3.087290161,0.593709646,-1.721757974,-1.128048328,6181,18.7,2103,30.7,0,15276,14679,597,3.9,39917,80.0245,FALSE,1017,16971701,1017,1,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
AL,Cherokee,6,6,3692,7157,5417,2407,19.8,38.3,29,12.9,0,26032,217,219,0.073601721,340,-121,-1,338,337,1,290,8.447933342,13.11551295,-4.667579609,-0.038575038,13.03836288,12.99978784,4180,16.3,1215,24.7,0,11622,11207,415,3.6,42132,84.465,FALSE,1019,120308339,1019,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25
AL,Chilton,1,1,5302,13125,7147,4219,17.8,44.1,24,14.2,0,44153,36,526,0.102008924,506,20,25,-6,19,-3,393,11.91797893,11.46482384,0.453155092,0.566443865,-0.135946528,0.430497338,7542,17.3,2401,23.3,1,19476,18773,703,3.6,47547,95.3209,FALSE,1021,20592144,1021,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
AL,Choctaw,9,10,1754,3606,2851,1225,18.6,38.2,30.2,13,3,12841,-94,134,0.085585235,176,-42,-2,-50,-52,0,129,10.39726878,13.65611422,-3.258845438,-0.155183116,-3.879577902,-4.034761018,2806,22.1,813,32.1,0,4694,4434,260,5.5,39907,80.0044,FALSE,1023,19144469,1023,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
AL,Clarke,7,11,3175,7372,4205,2118,18.8,43.7,24.9,12.6,3,23920,-177,267,0.094188963,307,-40,-2,-133,-135,-2,280,11.12106129,12.78713789,-1.666076598,-0.08330383,-5.539704688,-5.623008518,5381,22.8,1625,31.7,0,7627,7057,570,7.5,40741,81.6764,FALSE,1025,36657891,1025,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
AL,Clay,9,10,2275,3366,2700,944,24.5,36.3,29.1,10.2,3,13275,-92,128,0.085499058,177,-49,-1,-42,-43,0,255,9.608888222,13.28729074,-3.678402522,-0.075069439,-3.152916448,-3.227985887,2285,17.6,684,25.8,0,5963,5730,233,3.9,39201,78.589,FALSE,1027,5285207,1027,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43
AL,Cleburne,8,4,2364,4135,2518,1428,22.6,39.6,24.1,13.7,0,14987,81,167,0.095816374,198,-31,-8,122,114,-2,178,11.17318436,13.24724852,-2.074064162,-0.535242364,8.162446058,7.627203693,2356,16,764,22.9,0,5743,5499,244,4.2,46495,93.2118,FALSE,1029,2354896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
AL,Coffee,4,5,4833,9723,12181,8175,13.8,27.9,34.9,23.4,0,51909,132,652,0.101677936,541,111,18,5,23,-2,518,12.57643269,10.43535289,2.141079799,0.34720213,0.096445036,0.443647166,7053,13.8,2640,21.9,0,20817,19995,822,3.9,55122,110.507,FALSE,1031,3907189,1031,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
AL,Colbert,3,2,6016,13927,11459,7236,15.6,36,29.7,18.7,0,54762,253,610,0.092162448,685,-75,4,324,328,0,474,11.16490194,12.53763579,-1.372733845,0.073212472,5.930210211,6.003422683,7459,13.8,2345,21,1,23258,22184,1074,4.6,49055,98.3441,FALSE,1033,79700277,1033,2,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
AL,Conecuh,7,11,1703,4315,1881,949,19.2,48.8,21.3,10.7,0,12277,-158,126,0.094485624,183,-57,1,-102,-101,0,45,10.19747491,14.81061832,-4.613143412,0.080932341,-8.255098737,-8.174166397,2979,24.4,1005,40.1,0,4494,4259,235,5.2,32613,65.3816,FALSE,1035,6632046,1035,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AL,Coosa,8,3,1675,3178,2424,953,20.4,38.6,29.5,11.6,3,10715,-42,90,0.072235184,122,-32,14,-23,-9,-1,248,8.383010432,11.36363636,-2.980625931,1.304023845,-2.142324888,-0.838301043,1973,18.9,526,30.1,0,4376,4193,183,4.2,42423,85.0484,FALSE,1037,39987271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Covington,6,6,4530,9368,8588,3952,17.1,35.4,32.5,14.9,0,36986,-92,426,0.098956362,537,-111,-2,23,21,-2,575,11.50356449,14.50097213,-2.997407647,-0.054007345,0.621084468,0.567077123,7239,19.9,2341,29.5,0,15617,14902,715,4.6,40203,80.5978,FALSE,1039,34231390,1039,2,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
AL,Crenshaw,8,6,2091,3753,2326,1505,21.6,38.8,24,15.6,3,13824,-37,141,0.090494792,181,-40,-2,5,3,0,132,10.18602131,13.07567275,-2.889651436,-0.144482572,0.36120643,0.216723858,2661,19.5,957,30.8,0,6298,6041,257,4.1,39057,78.3004,FALSE,1041,5388561,1041,2,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
AL,Cullman,4,3,10405,20382,18559,7866,18.2,35.6,32.4,13.7,0,83442,606,977,0.097145322,1039,-62,29,643,672,-4,1049,11.75140428,12.49714334,-0.745739063,0.348813433,7.734035771,8.082849204,11925,14.5,3604,19.7,0,37830,36589,1241,3.3,45796,91.8105,FALSE,1043,52422496,1043,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
AL,Dale,4,5,4732,10924,12036,5690,14.2,32.7,36.1,17,3,48956,-298,651,0.112059809,552,99,-36,-360,-396,-1,922,13.25730577,11.2412178,2.016087975,-0.7331229,-7.331228999,-8.064351899,7743,16.2,2698,24.4,0,20120,19274,846,4.2,45309,90.8342,FALSE,1045,4082940,1045,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
AL,Dallas,4,5,5135,9368,8076,4021,19.3,35.2,30.4,15.1,3,38310,-925,460,0.112503263,533,-73,2,-855,-853,1,852,11.86407892,13.74685666,-1.882777742,0.051582952,-22.05171191,-22.00012896,11841,31.4,4295,48,0,14860,13887,973,6.5,34035,68.2324,FALSE,1047,39124778,1047,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14
AL,DeKalb,6,6,12394,15956,13441,6085,25.9,33.3,28.1,12.7,3,71385,-19,817,0.097401415,807,10,34,-59,-25,-4,782,11.44345853,11.30339172,0.140066812,0.47622716,-0.82639419,-0.35016703,14975,21.3,4990,29.6,0,30129,28979,1150,3.8,39491,79.1704,FALSE,1049,4121543,1049,1,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
AL,Elmore,2,2,7594,18304,16197,13664,13.6,32.8,29,24.5,0,81887,471,896,0.094557134,818,78,21,373,394,-1,5021,10.9734665,10.01818705,0.95527945,0.257190621,4.568195318,4.825385939,8559,11.2,2924,16.3,1,37215,35932,1283,3.4,60367,121.022,TRUE,1051,99957723,1051,2,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14
AL,Escambia,6,6,4792,11546,6340,3287,18.5,44.5,24.4,12.7,0,36748,-251,435,0.100250354,485,-50,3,-204,-201,0,2685,11.79709005,13.15307741,-1.355987362,0.081359242,-5.532428438,-5.451069196,8022,23.6,2648,32.8,0,14352,13696,656,4.6,38418,77.0193,FALSE,1053,20504948,1053,2,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10
AL,Etowah,3,2,11147,23665,24416,12767,15.5,32.9,33.9,17.7,0,102501,-436,1175,0.095277119,1473,-298,21,-154,-133,-5,2086,11.43897429,14.34009288,-2.901118586,0.204441243,-1.499235779,-1.294794537,17509,17.5,6191,28.8,1,43096,41328,1768,4.1,44903,90.0202,FALSE,1055,34568854,1055,4,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,2
AL,Fayette,6,6,2060,4868,3273,1516,17.6,41.5,27.9,12.9,0,16433,-41,167,0.088176231,225,-58,4,16,20,-3,291,10.14981615,13.674902,-3.525085848,0.243109369,0.972437475,1.215546844,3801,23.5,1279,37.4,0,6482,6215,267,4.1,39254,78.6953,FALSE,1057,4330881,1057,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46
AL,Franklin,6,6,4835,7666,5632,2679,23.2,36.8,27.1,12.9,3,31363,-227,426,0.110639926,364,62,48,-338,-290,1,272,13.53390625,11.5641828,1.969723445,1.524947183,-10.73816975,-9.213222563,5939,19.2,2270,30.1,0,14203,13673,530,3.7,39388,78.9639,FALSE,1059,32643981,1059,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,96
AL,Geneva,3,2,3891,6924,5720,2063,20.9,37.2,30.8,11.1,0,26314,-96,272,0.092916318,357,-85,-6,-4,-10,-1,229,10.3178818,13.54221986,-3.224338062,-0.227600334,-0.151733556,-0.37933389,5537,21.3,1676,29.5,1,10851,10425,426,3.9,37823,75.8265,FALSE,1061,11578163,1061,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
AL,Greene,8,6,1406,2149,1689,589,24.1,36.8,29,10.1,0,8233,-85,99,0.102635734,98,1,1,-86,-85,-1,45,11.96302338,11.84218476,0.12083862,0.12083862,-10.39212132,-10.2712827,2459,30.1,796,44,0,2838,2647,191,6.7,28524,57.1841,FALSE,1063,33416141,1063,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49
AL,Hale,3,2,1647,4292,2711,1421,16.4,42.6,26.9,14.1,0,14726,-83,186,0.109873693,207,-21,0,-61,-61,-1,221,12.595226,14.01726765,-1.422041646,0,-4.130692399,-4.130692399,3705,25.6,1194,35.6,1,5991,5686,305,5.1,34724,69.6137,FALSE,1065,32423361,1065,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
AL,Henry,3,2,2412,4081,3487,2187,19.8,33.5,28.7,18,0,17209,69,182,0.08542042,218,-36,2,104,106,-1,199,10.59710618,12.69323707,-2.096130892,0.116451716,6.055489243,6.171940959,3037,17.9,945,27.2,1,6766,6466,300,4.4,46027,92.2736,FALSE,1067,16986823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
