Date,Rides
11/1/19,12425
11/2/19,8356
11/3/19,10117
11/4/19,11548
11/5/19,9670
11/6/19,9565
11/7/19,11887
11/8/19,12476
11/9/19,8860
11/10/19,10219
11/11/19,9440
11/12/19,11341
11/13/19,9483
11/14/19,11194
11/15/19,12138
11/16/19,8126
11/17/19,9713
11/18/19,11189
11/19/19,9894
11/20/19,9610
11/21/19,11124
11/22/19,11815
11/23/19,8606
11/24/19,8920
11/25/19,9869
11/26/19,10747
11/27/19,11864
11/28/19,7350
11/29/19,9355
11/30/19,11732
12/1/19,16442
12/2/19,13692
12/3/19,10890
12/4/19,10139
12/5/19,12085
12/6/19,11737
12/7/19,8152
12/8/19,9151
12/9/19,10453
12/10/19,9109
12/11/19,9087
12/12/19,10982
12/13/19,11747
12/14/19,8123
12/15/19,8896
12/16/19,9770
12/17/19,9597
12/18/19,9553
12/19/19,9941
12/20/19,10349
12/21/19,7949
12/22/19,7987
12/23/19,8831
12/24/19,7486
12/25/19,7049
12/26/19,11547
12/27/19,11562
12/28/19,10084
12/29/19,10802
12/30/19,10352
12/31/19,8745
