Date,unem_rate,industrial_production_index,manufacturers_new_orders,purchase_house_price_index,construction_spending,retail_sales
1/1/90,6,63.793,NA,NA,NA,NA
2/1/90,5.9,64.7404,NA,NA,NA,NA
3/1/90,5.5,65.0788,NA,NA,NA,NA
4/1/90,5.3,63.7434,NA,NA,NA,NA
5/1/90,5.2,64.4036,NA,NA,NA,NA
6/1/90,5.4,66.3925,NA,NA,NA,NA
7/1/90,5.6,63.935,NA,NA,NA,NA
8/1/90,5.5,66.1437,NA,NA,NA,NA
9/1/90,5.6,66.6284,NA,NA,NA,NA
10/1/90,5.5,65.6866,NA,NA,NA,NA
11/1/90,5.9,63.9776,NA,NA,NA,NA
12/1/90,6,63.0847,NA,NA,NA,NA
1/1/91,7.1,63.3763,NA,100,NA,NA
2/1/91,7.3,63.1294,NA,100.47,NA,NA
3/1/91,7.2,62.4128,NA,100.73,NA,NA
4/1/91,6.5,62.4138,NA,100.74,NA,NA
5/1/91,6.7,62.8255,NA,100.89,NA,NA
6/1/91,7,65.1955,NA,101.39,NA,NA
7/1/91,6.8,62.8622,NA,101.35,NA,NA
8/1/91,6.6,65.1235,NA,101.28,NA,NA
9/1/91,6.5,65.8034,NA,101.4,NA,NA
10/1/91,6.5,65.3125,NA,101.6,NA,NA
11/1/91,6.7,64.1765,NA,102.13,NA,NA
12/1/91,6.9,63.3248,NA,102.19,NA,NA
1/1/92,8.1,63.5552,NA,102.28,NA,130683
2/1/92,8.2,64.4449,228230,102.95,NA,131244
3/1/92,7.8,65.1313,245052,103.09,NA,142488
4/1/92,7.2,64.4295,236726,102.97,NA,147175
5/1/92,7.3,64.9418,238178,103.16,NA,152420
6/1/92,8,66.7399,254919,103.52,NA,151849
7/1/92,7.7,64.6917,215164,103.78,NA,152586
8/1/92,7.4,66.7648,229877,104.35,NA,152476
9/1/92,7.3,66.9514,251642,104.6,NA,148158
10/1/92,6.9,67.2483,250738,104.79,NA,155987
11/1/92,7.1,66.7355,238753,105.05,NA,154824
12/1/92,7.1,66.3289,245841,104.65,NA,191347
1/1/93,8,66.6681,224516,104.4,31283,137020
2/1/93,7.8,67.6334,245826,104.08,30264,134462
3/1/93,7.4,67.6601,260569,104.68,33794,153025
4/1/93,6.9,66.6265,243538,105.57,37257,158615
5/1/93,6.8,66.659,241420,105.91,40124,163519
6/1/93,7.2,68.6221,264103,106.7,43842,162964
7/1/93,7,66.2906,220405,106.72,44682,164590
8/1/93,6.6,68.6034,243322,107.17,46866,163989
9/1/93,6.4,68.9336,259484,107.38,47755,159298
10/1/93,6.4,69.0893,257233,107.51,45361,163992
11/1/93,6.2,68.6103,249000,107.72,44786,169980
12/1/93,6.1,68.3725,250599,107.9,39535,206174
1/1/94,7.3,68.9453,240343,107.86,34917,145276
2/1/94,7.1,69.5302,256001,108.01,33222,146332
3/1/94,6.8,70.3719,273234,108.73,38215,173562
