Date,Revenue,Southwest,Central,Northeast,Northwest,South,Southeast,Energy,Industrials,Consumer,Agricultural,Durable,Lagged
1/1/10,2683.002,1843.2,3014.23,3223.02,5016.28,764.38,6933.16,3812.03,5881.96,2347.72,3796.59,4528.29,67.26
1/2/10,2509.283,1826.14,4162.14,2624.69,5529.76,1147.17,6343.65,7877.04,8253,2518.37,3403.33,4706.49,62.54
1/3/10,3675.28,2731.43,5434.42,2719.47,4469.37,698.72,5455.22,5730.47,7604.91,2169.28,3953.92,3094.75,69.72
1/4/10,1569.96,2165.59,4550.36,2760.21,4803.41,828.98,9124.13,6772.74,8746.55,4009.01,3466.72,3744.67,61.23
1/5/10,3625.656,1546.33,6605.75,2633.19,6511.33,839.73,5585.17,5618.87,6349.06,2694.74,2277.36,4034.39,75.53
1/6/10,2690.664,2461.94,3632.33,3513.64,5675.72,787.58,9543.3,5823.32,5971.89,2762.75,3800.4,3755.53,70.46
1/7/10,1891.41,1264.99,3911.54,2416.44,6001.81,1191.74,5819.73,6516.93,7209.55,2722.76,3256.61,3335.76,60.9
1/8/10,2921.334,2499.24,4990.32,2752.11,6435.56,748.48,4464.06,4855.91,6078.35,2390.96,3489.51,2474.87,75.19
1/9/10,2516.688,1726.94,4249.23,3152.29,5480.84,897.55,8600.4,8419.33,7647.64,3086,3221,3446.18,72.74
1/10/10,3442.602,1607.64,4889.99,2472.25,7046.47,1091.62,6691.54,5703.83,5982.03,2761.49,2460.44,3263.48,79.42
1/11/10,2679.846,2174.1,3854.01,2956.61,4658.84,809.44,7193.2,3904.54,8037.05,2656.31,4704.65,2640.13,69.48
1/12/10,1838.16,2171.95,4288.48,3596.94,5754.59,1069.77,8294.76,6241.68,9165.31,2210.24,2602.24,4727.95,66.26
1/13/10,3657.384,2001.09,4588.29,2813.56,5588.9,647.18,6404.14,5071.96,7260.54,2109.7,3346.14,3295.47,70.93
1/14/10,2821.686,2186.17,3184.24,3627.9,5664.65,726.7,7611.99,4667.68,9164.52,2609.47,3950.72,2919.69,72.71
1/15/10,2939.148,1584.6,4685.81,3088.82,7138.32,1092.57,7844.04,5069.29,7877.18,3022.49,3190.06,3360.47,76.86
1/16/10,2604.21,2272.52,3617.4,3246.23,6134.35,602.08,8328.25,5678.25,6292.6,2661.66,3491.56,2833.55,66.09
1/17/10,2291.274,1880.71,4190.96,2435.06,4879.94,1019.8,6754.61,7310.44,8369.04,2745.92,3276.02,4390.53,66.55
1/18/10,3253.566,1693.62,4396.9,2582.13,6797.4,852.18,6484.97,6677.64,6314.4,2699.5,3479.35,3287.4,69.19
1/19/10,2885.772,2025.32,4005.83,3391.84,5965.54,676.36,8590.72,6559.33,7550.38,2758.56,3396.17,3660.07,70.88
1/20/10,3544.044,1747.54,4331.74,2605.16,5737.77,1069.14,7205.59,4500.36,7274.79,2832.39,3391.52,3641.97,73.53
1/21/10,2821.848,2443.71,3218.29,3582.24,5555.16,602.31,7866.8,6421.72,6850.41,1909.04,3234.05,3804.14,70.14
1/22/10,2776.824,1694.59,2874.68,3277.8,6674.89,750.9,8169.05,6244.38,8062.73,2000.35,3280.7,3587.5,68.9
1/23/10,3172.434,2037.82,4996.39,2839.16,7078.94,835.72,8951.25,5517.49,5348.25,3075.17,4571.38,3372.18,74.41
1/24/10,1714.614,2186.1,3078.71,3227.4,5398.45,891.92,9763.78,7657.44,7259.51,2558.45,3605.63,4602.51,61.23
1/25/10,2852.088,2056.98,4330.57,2777.34,6341.98,1048.7,7678.77,5321,5934.59,1705.22,2935.83,3818.73,71.85
1/26/10,2268.9,2094.13,4847.53,3579.23,5688.57,764.11,9573.81,7532.37,7924.57,1979.43,3703.91,3463.4,68.26
1/27/10,2217.924,1579.68,2804.23,2415.44,6083,1097.69,5732.26,7372.33,8385.14,2689.75,3343.44,3559.07,66.91
1/28/10,3137.334,2295.61,4156.41,3133.32,6093.73,962.61,8063.79,4864.55,6889.94,2480.19,4894.34,3596.74,70.11
1/29/10,3219.192,1751.54,3829.62,3551.68,5145.39,947.61,9036.59,7197.78,7615.05,3008.57,2289.45,3259.37,73.38
1/30/10,2560.398,1511.56,5102.19,2890.58,7701.42,934.82,8014.79,5347.81,7039.4,2415.19,3622.12,3939.33,74.46
1/31/10,3118.368,1921.62,3973.97,3543.33,6459.8,896.52,8285.69,5750.05,5801.93,2428.91,3789.71,2934.27,76.48
2/1/10,2880.99,1928.49,3272.96,2528.46,4746.65,1183.08,8561.42,6598.67,8018.03,2799.57,3492.43,4111.57,69.59
2/2/10,2902.014,2150.65,5106.26,2893.47,5706.79,945.1,8023.79,3484.9,7157.02,2156.2,4151.72,3368.94,67.9
2/3/10,2308.83,1711.31,3808.45,3390.36,4995.84,872.13,8401.47,5871.3,7639.68,3173.72,2572.7,2855.05,68.07
2/4/10,3266.448,1881.31,4092.14,2198.86,6751.77,1116.85,5851.97,4812.18,6309.4,2298.93,3895.67,4528.59,76.25
2/5/10,3076.098,2091.87,3498.63,3974.33,5626.12,876.29,7405.96,5483.17,5997.79,3396.76,3771.41,3504.72,75.81
2/6/10,2848.578,1455.15,3689.19,2580.71,5239.49,997.86,7345.94,7206.1,7197.12,2765.07,3719.2,4055.92,67.31
2/7/10,3026.658,2234.32,4256.17,2325.9,7363.26,764.76,7060.42,4323.94,7610.68,2676.66,4005.76,3166.32,73.93
2/8/10,2760.558,1672.65,4121.87,2836.37,5292.17,937.08,8282.67,8192.56,7979.52,2423.7,3933.9,3440.32,66.2
2/9/10,2492.412,2019.32,4503.26,2907.94,5809.6,930.51,5397.71,5095.69,5792.55,2097.89,2978.04,4123.67,67.79
2/10/10,3193.698,2531.85,4073.93,3558.79,6162.9,711.91,8940.83,4704.41,7259.55,2649.15,4193.54,3648.75,76.19
2/11/10,2624.916,2087.32,3547.93,2600.6,5592.65,854.5,7693.2,5873.64,8581.5,3010.62,3191.28,3935.65,69.25
2/12/10,3003.192,2286.99,4411.7,2899.26,6499.71,866.39,6826.01,5292.58,5508.58,2247.88,3586.24,3345.84,75.75
2/13/10,2954.706,1944.1,4007.78,3079.94,5903.69,696.27,7941.16,7977.39,6738.18,3534.24,3387.51,2726.43,70.95
2/14/10,3073.152,2101.5,5352.79,2956.18,5915.2,967.56,7326.81,4809.47,8545.98,2391.51,3924.31,4280.25,70.44
2/15/10,2361.042,2028.82,5044.21,3822.36,5881.4,984.74,8146.49,6208.81,6811.52,2489.23,3781.1,3584.95,64.39
2/16/10,2714.364,2227.49,3385.89,2759.54,6655.15,644.91,5813.99,7083.76,8356.9,3244.09,3486.36,3498.14,70.07
2/17/10,3488.76,2539.72,4188.23,2799.56,7273.68,908.14,8263.52,4424.78,7170.74,2744.43,4016.96,3814.03,79.16
2/18/10,2476.452,1577.76,3431.84,3594.78,5744.47,665.73,7741.61,7284.45,7968.17,2681.74,2899.4,3196.97,70.94
2/19/10,2330.976,1749.23,5062.02,3092.11,6030.05,1176.46,7202.25,5721.11,7650.67,1855.85,3552.45,3846.27,71.4
2/20/10,2476.584,2205.81,3774.41,3648.85,6402.59,938.97,10498.05,6033.47,5760.64,2704.16,4102.57,3551.03,72.1
2/21/10,2483.472,1773.24,3908.28,2312.11,5519.67,1043.14,4701.24,6289.22,8216.46,2400.8,3153.76,4263.71,67.97
2/22/10,3083.022,1945.2,4857.53,3059.42,6421.48,992.82,6466.24,4662.16,6229.21,2051.31,3785.68,3557.21,77.89
2/23/10,2695.476,1859.69,3842.46,3394.83,5845.53,814.64,7246.98,7716.11,8394.18,2609.56,3546.99,3389.98,69.74
2/24/10,3374.43,1649.67,4570.14,2913.92,6031.1,1027.8,6695.39,6379.6,7394.69,2542.94,3599.15,4852.54,70.81
2/25/10,2341.578,1905.63,2723.93,2992.1,6013.39,909,10823.76,5521.85,6980.41,3225.05,4447.63,3310.87,68.19
2/26/10,3074.562,1897.91,4206.66,1922.49,6039.32,910.43,7045.12,6739.67,9375,2847.92,3122.99,4229.17,70.02
2/27/10,3315.624,2091.68,4177.93,3006.93,5660.68,861.91,7323.07,6160.86,5581.45,2592.3,4134.23,3196.85,76.99
2/28/10,2611.542,1801.55,4215.4,2872.51,5164.86,745.6,9662.64,6838.02,8432.53,3141.58,2479.74,2832.57,74.35
3/1/10,2721.264,1123.13,4696.8,2793.41,6542.58,1138.19,6738.42,5870.19,7638.19,2903.52,3818.69,4309.02,72.25
3/2/10,3073.5,2144.55,3863.92,3382.87,4539.97,818.47,9299.58,4949.62,6601.98,2407.7,3845.98,3204.51,70.93
3/3/10,2480.658,1805,4069.05,2420.5,7853.14,874.77,6674.85,7409.18,8703.23,3236.04,2969.47,3287.05,73.37
3/4/10,2818.458,2459.71,4158.06,2653.64,6524.78,979.01,5731.85,4574.14,7765.94,2353.68,4182.99,3540.93,72.49
3/5/10,2829.558,1832.07,3597.13,2620.11,5213.85,793.52,8741.09,7015.11,6104.55,2971.96,3458.83,3459.21,67.11
3/6/10,2466.582,1788.04,4448.73,2838.85,6720,1071.47,8401.91,5801.08,7445.9,2754.69,2623.61,4277.24,65.69
3/7/10,2648.994,2245.08,3550.65,3726.29,7409.96,824.26,7224.44,5294.49,7241.28,2134.33,3493.46,3455.58,68.4
3/8/10,2366.118,1986.86,3627.99,2558.66,5317.14,903.87,7569.29,6771.59,7441.31,2827.69,2702.65,3143.57,67.01
3/9/10,2932.182,2374.93,4313.39,3135.8,6390.36,791.24,6153.44,5899.8,6911.64,2059.84,4656.48,3997.85,67.83
3/10/10,2690.61,2313.71,3432.44,3382.11,4861.81,873.88,8413.91,6305.57,7521.52,3474.12,4333.89,3577.12,68.33
3/11/10,2883.24,2017.1,4283.39,2914.84,6125.18,1095.43,4419.83,4630.11,7238.62,2359.37,2631.05,4202.95,73.92
3/12/10,2806.008,2369.82,3617.72,3466.38,4149.12,712.04,8153.66,6053.58,5151.39,2332.3,3079.97,3460.57,69.27
3/13/10,2743.794,1319.02,2627.06,2395.72,6621.82,1004.53,7532.07,6489.1,7015.31,2864.8,3759.25,4108.14,70.9
3/14/10,3167.406,2311.26,5725.38,2727.08,4922.85,836.59,7567.57,6380.56,5714.9,2380.3,3607.3,4155.68,73.21
3/15/10,2439.228,1730.89,4359.08,2992.23,4480.41,927.92,8795.01,7130.3,7717.28,2452.15,3308.6,2895.58,66.5
3/16/10,2805.21,2287.78,4764.02,3127.55,8121.6,928.97,6393.02,3745.83,8714.74,2606.46,2602.45,3373.19,67.08
3/17/10,3558.81,2469.46,3741.26,2261.87,5391.65,685.55,8547.59,6210.92,3917.95,2721.56,4347.53,3623.84,72.97
3/18/10,2947.266,1988.97,4259.96,3202.28,6528.2,702.85,7756.78,6282.68,9526.93,2734.77,3254.36,3891.92,72.07
3/19/10,2850.768,2261.47,5751.94,3361.61,6239.88,742.53,6150.62,5866.67,7339.62,2373.67,4805.99,3094.87,70.47
3/20/10,2973.762,1508.81,3648.46,3294.78,6637.85,965.18,7001.4,6095.66,6425.88,2872.15,3481.23,3664.99,75.08
3/21/10,2847.72,1368.52,4656.62,2508.43,7321.79,1185.86,6432.62,6797.24,7765.69,2546.01,2439.23,4247.4,68.29
3/22/10,3058.134,2474,3673.74,3158.65,4892.69,801.78,6877.51,5826.26,8152.13,2202.83,4337.43,3457.39,69.29
3/23/10,2518.11,1838.94,3903.67,2347.78,6389.13,938.79,5557.53,7998.52,5858.56,2499.7,2886.77,3588.81,67.53
3/24/10,3053.808,1989.64,4557.65,2641.71,6534.06,828.54,5598.5,5318.58,8258.96,1822.88,3250.75,2665.05,74.94
3/25/10,2469.54,1981.96,3236.74,2741.94,5077.48,810.24,7572.78,7039.13,5399.33,2739.54,3875.58,3968.92,71.07
3/26/10,3018.696,1619.42,5287.21,2704.8,5133.36,946.86,6077.5,5304.2,7037.97,2807.51,3207.28,3448.24,68.15
3/27/10,2593.248,2238.93,5152.28,2926.74,4388.47,583.92,8124.55,5680.4,6650.33,2186.65,4568.93,3504.17,70.17
3/28/10,1632.012,1850.7,3235.76,2793.49,6128,954.62,6356.96,8041.62,6385.62,3087.67,3454.26,4013.21,64.72
3/29/10,3459.474,2651.7,5136.09,2293.3,7046.85,755.84,5220.61,6027.31,7805.13,2533.22,3882.37,2575.71,77.16
3/30/10,2727.468,2168.47,3813.39,3374.98,4111.28,747.47,9079.67,6054.55,6796.78,3027.03,4651.29,3219.86,67.33
3/31/10,2879.748,1698.03,4724.5,3148.32,6810.6,1084.51,6552.89,4815.43,7888.08,2081.17,3096.15,3521.25,68.98
4/1/10,2478.828,2111.17,4423.74,3395.81,3834.74,894.45,7161.4,6991.1,4942.62,2633.54,4114.25,4131.81,71.52
4/2/10,2458.872,2093.93,4041.36,3029.48,5140.89,916.2,6510.53,6504.78,7775.91,2816.54,3192.55,4492.68,69.96
4/3/10,3502.404,2442.54,4711.38,3277.2,6217.81,853.72,8324.4,7106.47,6976.16,2049.69,4055.21,3827.54,78.86
4/4/10,2787.414,1733.44,3759.2,3694.41,5204.99,729.22,9004.32,6069.38,7886.14,2718.85,4316.22,2852.65,69.58
4/5/10,2674.668,1576.68,4285.4,2632.47,6395.79,998.62,7333.97,6653.65,8393.36,2656.54,2959.38,4121.39,68.93
4/6/10,1936.068,2617.39,4181.94,3204.01,5257.27,908.34,6257.2,6573.72,7570.1,2323.58,4129.54,3659.59,63.73
4/7/10,3033.486,2116,4055.56,3154.68,5530.9,896.92,7774.42,7238.26,7004.81,2509.69,3153.79,4647.59,76.39
4/8/10,3424.512,2194.12,4870.96,2660.4,6445.33,899.62,7886.86,5427.72,6120.05,2914.12,4249.78,3004.88,74.34
4/9/10,2831.31,1573.5,3413.88,2727.88,5798.03,848.8,5862.97,5569.97,6987.87,3156.69,3749.37,3199.12,74.93
4/10/10,2514.474,2327.56,4581.22,2857.73,6101.87,1095.8,7427.23,4127.05,8297.62,2569.99,2849.35,3650.06,72.57
4/11/10,3494.64,2402.79,4357.07,3188.64,4617.55,652.17,8148.49,5075.37,7910.05,1621.25,2783.53,2949.8,71.88
4/12/10,2614.338,1510.95,3552.83,3174,4285.55,1056.25,7331.6,7685.76,9755.43,2437.73,3422.53,3957.28,67.21
4/13/10,2964.738,2477.01,5407.01,2592.77,4802.05,882.16,6962.78,7285.75,6603.61,2609.85,3467.07,3748,74.92
4/14/10,2254.476,2220.42,3923.57,2655.94,5994.56,785.5,8193.52,5834.51,7154.79,3191.73,4141.68,3521.19,72.02
4/15/10,2824.86,2078.28,4562.46,3406.4,6155.98,1129.05,7009.46,4289.71,8096.75,2261.83,4020.89,2825.13,74.04
4/16/10,2826.78,2275.34,4307.76,3532.43,6963.78,898.34,7498.99,5858.72,7008.39,2551.57,4210.97,3036.04,72.14
4/17/10,2637.192,2167.15,4126.18,3378.41,5325.85,1096.51,7135.7,7051.7,8250.44,2052.19,4557.82,3761.31,66.98
4/18/10,2828.13,2069.5,5178.07,2850.43,7833.24,815.82,6697.28,4526.07,6151.89,2180.05,2519.81,3013.28,68.09
4/19/10,2096.484,1863.61,3050.79,3811.69,5596.24,778.61,7378.34,5996.86,6446.82,2688.12,3463.59,4166.49,65.9
4/20/10,2170.338,1746.11,4136.24,2292.39,7193.66,1088.88,7137.8,6063.78,9219.08,2065.5,2665.64,4769.02,67.75
4/21/10,2999.268,2682.22,4640.55,3374.52,6097.18,887.7,6381.09,5392.08,5280.05,2777.75,3696.77,2845.43,75.77
4/22/10,2450.544,2046.39,2053.45,2418.15,4835.93,801.5,8991.92,7611.77,9048.03,3036.87,2424.58,3723.9,65.89
4/23/10,3628.014,2322.72,4825.84,2642.22,5400.48,776.69,7734.26,5044.22,5380.48,2328.6,3197.75,3223.25,76.69
4/24/10,2439.792,2228.89,3853.96,3412.59,5031.03,786.73,8551.46,6644.99,6367.8,3312.6,4063.67,3249.74,70.17
4/25/10,2274.222,1697.34,4826.03,3051.03,6790.64,1009.61,7306.72,5480.4,8923.38,2085.68,3583.92,3999.66,64.57
4/26/10,3271.128,2709.57,4728.72,3509.99,4942.66,830.04,6208.47,6518.97,8672.23,2383.14,3724.77,3300.4,75.26
4/27/10,3158.046,2133.39,2930.74,2990.45,5313.27,708.8,7788.42,7450.74,9234.6,2967.74,3720.02,3998.87,75.58
4/28/10,2550.978,1957.24,4915.98,2357.42,5893.24,824.87,7359.3,5692.39,7322.61,2854.53,3461.39,3659.42,72.56
4/29/10,2853.864,1965.55,3534.6,2679.37,5401.53,805.65,8220.1,6646.73,8861.39,2823.88,4355.15,3458.3,73.35
4/30/10,2557.782,2164.85,3894.18,2817.72,8000.41,821.47,6813.62,3530.42,7834.65,2307.07,3871.7,4209.93,74.36
5/1/10,3248.574,2133.81,4687.26,3116.61,5487.49,738.41,6315.83,5839.57,6885.59,2554.23,3320.46,4020.16,72.71
5/2/10,2764.818,1835.28,4120.49,2636.82,4327.07,758.57,8309.49,6992.28,9573.43,2820.06,3436.9,4430.91,71.92
5/3/10,2942.1,2240.5,4856.01,2880.83,6131.03,1041.48,5756.81,3961.92,6359,2523.03,3820.9,3560,67.7
5/4/10,2051.286,1779.57,3997.45,3521.22,4575.8,849.04,8402.34,5888.63,7926.13,3019.93,2539.39,3064.05,68.49
5/5/10,2705.616,2047.8,4363.82,2430.91,5368.53,919.57,5760.7,6289.02,9116.18,2152.96,3027.78,3824.13,73.01
