loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,policy_code,is_bad
14000,8725, 60 months,7.51%,174.88,A,A4,Peninsula Counseling Center,10+ years,MORTGAGE,126000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=517686,"  Borrower added on 05/18/10 > mick credit card consolidation loan - 100% payoff of credit card debt - amex, sears, macys and bank of america<br/>",credit_card,mick credit card loan,103xx,NY,14.28,0.0,11/1/79,0.0,,,18.0,0.0,5466,11.1,29.0,f,,1,0
23000,23000, 36 months,12.18%,765.9,B,B4,Deliotte/ BearingPoint,5 years,RENT,112000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=457826," 569486 added on 11/07/09 > - Two high earners in their early thirties, w/ increased earning potential in the future.<br/><br/>- Applied for a 36 month month loan, with a goal to pay it off in under 30 months.<br/><br/>- Will use loan to consolidate debt.<br/><br/>- Employment, very stable.  Manager, Top 5 Consulting Firm and Director of Sales at software firm.<br/><br/>- Plan to use this service to help other borrowers in the future after we have paid off our loan.<br/><br/>- Thank you in advance for your consideration in funding a note in our loan.<br/> 569486 added on 11/09/09 > Thanks to all the investors so far!<br/> 569486 added on 11/10/09 > - Forgot to add monthly budget for us - it is $ 5,500.  Including rent, car (1), food, bills and student loans.<br/><br/>- We have 3 to 4 months of emergency savings in case one of us loses a job and it would not effect our ability to pay off our loan through lending club.<br/> 569486 added on 11/10/09 > - We have been asked how soon we plan to pay off the lending club loan, we believe with lowering our current CC rates by a lot, it is feasible for us to pay off the loan at or just above 24 months.  <br/><br/>- Our bank account has now been verified by Lending Club.<br/> 569486 added on 11/11/09 > Verifying employment, job, pay and budget with lending club tomorrow. Thanks again to all the investors so far!<br/> 569486 added on 11/17/09 > Almost there! Thanks again to all the investors.<br/>",debt_consolidation,BrightFuture,200xx,DC,14.96,0.0,6/1/93,0.0,,,12.0,0.0,25274,39.5,24.0,f,,1,0
20000,20000, 36 months,8.90%,635.07,A,A5,Averro inc.,< 1 year,RENT,148080.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1005770,  Borrower added on 10/31/11 > I wish to consolidate my credit card payments and reduce my debt profile while accelerating my payoff.<br/>,debt_consolidation,Debt cons. Loan,980xx,WA,15.88,0.0,4/1/96,2.0,,,12.0,0.0,36546,73.4,27.0,f,,1,0
5000,5000, 36 months,7.29%,155.05,A,A4,Bridgepoint Education,1 year,RENT,100000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=688483,"  Borrower added on 02/28/11 > I a Database Developer at Bridgpoint and would like to use this loan to pay a lump sum in taxes, as well as pay off a credit card that is 29% rate.  This is a citi bank card and I called them to try and reduce the interest rate, but they said the only way I could do that is if I did not pay a ontime and then they would consider.  I want to keep my credit score in the 700 range was not willing to default on my card.<br/>",other,Tax and Debt Consolidation,920xx,CA,18.66,0.0,10/1/99,0.0,,,13.0,0.0,23484,70.1,37.0,f,,1,0
30000,30000, 36 months,11.49%,989.14,B,B4,Office of the Federal Defender,3 years,MORTGAGE,120000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=867857,  Borrower added on 08/30/11 > I need a downpayment loan to purchase my second real estate investment property.<br/>,house,Home Loan Downpayment,606xx,IL,5.22,1.0,12/1/96,3.0,13.0,,5.0,0.0,49805,0.0,36.0,f,,1,0
20000,20000, 36 months,11.99%,664.2,B,B5,Eastern Virginia Medical School,1 year,RENT,350000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=785827,,credit_card,New Loan,234xx,VA,12.22,0.0,9/1/94,0.0,34.0,,8.0,0.0,27733,80.4,24.0,f,,1,0
10000,10000, 36 months,12.53%,334.67,B,B5,Presidential Airways,1 year,MORTGAGE,191000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=474006,  Borrower added on 01/04/10 > Need some money to cover addtional helicopter Flight Instrument Instructor Rating and Airline Transport Rating.  I am in between assignments at work and would like to take advantage of this time to get these ratings.<br/>,educational,CFII Loan,324xx,FL,12.2,0.0,3/1/87,0.0,49.0,,16.0,0.0,444,2.5,54.0,f,,1,0
8000,8000, 36 months,14.61%,275.81,D,D1,Edmunds.com Inc,4 years,RENT,120000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=447028,Saw this wonderful motorcycle and would be nice to able to purchase it.,other,Motorcycle Loan,918xx,CA,0.0,0.0,7/1/95,0.0,48.0,,2.0,0.0,0,0.0,7.0,f,,1,0
12025,12025, 36 months,13.49%,408.02,C,C2,iCrossing Inc.,< 1 year,MORTGAGE,100000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=801761,"  Borrower added on 07/01/11 > I am hoping to use this loan to consolidate two credit cards into one smaller payment. I have a full time, stable job and have never missed a payment on any monthly bills. Thank you.<br/>",debt_consolidation,Debt Consolidation Loan,200xx,DC,19.99,0.0,10/1/01,1.0,58.0,,6.0,0.0,24678,79.0,22.0,f,,1,0
20000,20000, 36 months,10.99%,654.68,B,B3,Headstrong Services LLC,2 years,RENT,95000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=790748,,credit_card,Debt Consolidation,232xx,VA,13.65,0.0,10/1/04,0.0,,,8.0,0.0,27686,54.3,26.0,f,,1,0
