,Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
0,3,A1 SH,SHRIMPLIN,2793.0,77.45,0.664,9.9,11.915,4.6,1,1.0
1,3,A1 SH,SHRIMPLIN,2793.5,78.26,0.6609999999999999,14.2,12.565,4.1,1,0.9790000000000001
2,3,A1 SH,SHRIMPLIN,2794.0,79.05,0.6579999999999999,14.8,13.05,3.6,1,0.9570000000000001
3,3,A1 SH,SHRIMPLIN,2794.5,86.1,0.655,13.9,13.115,3.5,1,0.9359999999999999
4,3,A1 SH,SHRIMPLIN,2795.0,74.58,0.647,13.5,13.3,3.4,1,0.915
5,3,A1 SH,SHRIMPLIN,2795.5,73.97,0.636,14.0,13.385,3.6,1,0.894
6,3,A1 SH,SHRIMPLIN,2796.0,73.72,0.63,15.6,13.93,3.7,1,0.872
7,3,A1 SH,SHRIMPLIN,2796.5,75.65,0.625,16.5,13.92,3.5,1,0.83
8,3,A1 SH,SHRIMPLIN,2797.0,73.79,0.624,16.2,13.98,3.4,1,0.809
9,3,A1 SH,SHRIMPLIN,2797.5,76.89,0.615,16.9,14.22,3.5,1,0.787
10,3,A1 SH,SHRIMPLIN,2798.0,76.11,0.6,14.8,13.375,3.6,1,0.7659999999999999
11,3,A1 SH,SHRIMPLIN,2798.5,74.95,0.583,13.3,12.69,3.7,1,0.745
12,3,A1 SH,SHRIMPLIN,2799.0,71.87,0.561,11.3,12.475,3.5,1,0.723
13,3,A1 SH,SHRIMPLIN,2799.5,83.42,0.537,13.3,14.93,3.4,1,0.7020000000000001
14,2,A1 SH,SHRIMPLIN,2800.0,90.1,0.519,14.3,16.555,3.2,1,0.6809999999999999
15,2,A1 SH,SHRIMPLIN,2800.5,78.15,0.467,11.8,15.96,3.1,1,0.638
16,2,A1 SH,SHRIMPLIN,2801.0,69.3,0.43799999999999994,9.5,15.12,3.1,1,0.617
17,2,A1 SH,SHRIMPLIN,2801.5,63.54,0.418,8.8,15.19,3.0,1,0.596
18,2,A1 SH,SHRIMPLIN,2802.0,63.87,0.401,7.2,15.39,2.9,1,0.574
19,2,A1 SH,SHRIMPLIN,2802.5,58.32,0.386,6.6,14.885,2.8,1,0.5529999999999999
20,2,A1 SH,SHRIMPLIN,2803.0,56.61,0.369,5.5,14.8,3.0,1,0.532
21,2,A1 SH,SHRIMPLIN,2803.5,55.97,0.35200000000000004,6.1,14.46,3.0,1,0.511
22,2,A1 SH,SHRIMPLIN,2804.0,63.67,0.344,6.0,14.745,3.0,1,0.489
23,2,A1 SH,SHRIMPLIN,2804.5,66.2,0.342,6.8,15.135,3.0,1,0.46799999999999997
24,2,A1 SH,SHRIMPLIN,2805.0,61.27,0.34600000000000003,6.1,15.48,3.0,1,0.447
25,3,A1 SH,SHRIMPLIN,2805.5,69.48,0.354,5.8,14.675,3.0,1,0.40399999999999997
