price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
28995,merc, C Class,2019,Semi-Auto,5196,Diesel,145,57.7,2.0
8490,bmw, 1 Series,2015,Manual,50000,Petrol,125,50.4,1.6
28490,merc, GLC Class,2017,Semi-Auto,33485,Diesel,145,56.5,2.1
30480,bmw, X3,2019,Automatic,5822,Petrol,145,30.4,2.0
39900,merc, GLS Class,2017,Automatic,19761,Diesel,300,37.2,3.0
10880,merc, E Class,2013,Automatic,56230,Diesel,145,57.7,2.1
17290,bmw, 3 Series,2018,Semi-Auto,8988,Diesel,150,68.9,2.0
26550,merc, C Class,2019,Automatic,4001,Diesel,145,64.2,2.0
11211,bmw, 3 Series,2013,Semi-Auto,88400,Diesel,125,58.9,2.0
18700,merc, C Class,2018,Semi-Auto,25340,Diesel,145,60.1,2.1
28499,bmw, X2,2019,Semi-Auto,8550,Diesel,145,48.7,2.0
45912,audi, A6,2019,Automatic,5260,Diesel,145,36.2,3.0
18385,bmw, 5 Series,2016,Semi-Auto,45356,Diesel,160,51.4,3.0
17250,bmw, 1 Series,2019,Manual,6824,Petrol,145,53.3,1.5
14299,merc, A Class,2016,Automatic,39726,Petrol,125,53.3,1.6
16780,merc, A Class,2018,Manual,14675,Diesel,145,68.9,1.5
12600,bmw, 3 Series,2016,Manual,47546,Diesel,30,67.3,2.0
18300,audi, A3,2016,Manual,55321,Petrol,200,40.4,0.0
11999,bmw, 2 Series,2016,Manual,32878,Petrol,125,52.3,1.5
9995,audi, A5,2013,Semi-Auto,75900,Diesel,125,58.9,2.0
41000,merc, C Class,2019,Semi-Auto,5339,Petrol,145,28.8,3.0
15999,bmw, 4 Series,2015,Automatic,32558,Diesel,145,55.4,3.0
15100,bmw, 3 Series,2015,Semi-Auto,34500,Petrol,160,46.3,2.0
25490,audi, A5,2019,Semi-Auto,9988,Diesel,145,50.4,2.0
20995,audi, A5,2017,Manual,12313,Diesel,30,64.2,2.0
18120,audi, A1,2016,Manual,7433,Petrol,200,40.4,2.0
12750,merc, A Class,2014,Automatic,37700,Petrol,125,52.3,1.6
17890,merc, C Class,2017,Automatic,36000,Petrol,150,50.4,2.0
38521,merc, C Class,2019,Automatic,50,Diesel,145,61.4,2.0
12995,audi, Q5,2014,Manual,55292,Diesel,205,47.9,2.0
15995,bmw, 4 Series,2015,Automatic,47822,Diesel,30,65.7,2.0
31779,merc, C Class,2019,Semi-Auto,1000,Diesel,145,54.3,1.6
14000,merc, A Class,2015,Semi-Auto,20682,Diesel,20,68.9,2.1
20950,audi, A4,2016,Semi-Auto,27800,Diesel,125,58.9,3.0
24849,merc, C Class,2019,Semi-Auto,5000,Petrol,145,44.1,1.5
19493,merc, A Class,2019,Automatic,2869,Petrol,145,28.5,1.3
8600,audi, A1,2017,Manual,12000,Petrol,150,67.3,1.0
18999,merc, E Class,2017,Automatic,36738,Diesel,145,65.7,2.0
14990,bmw, 3 Series,2016,Automatic,63000,Diesel,125,57.6,2.0
21945,bmw, 2 Series,2019,Semi-Auto,11687,Petrol,145,47.9,2.0
3495,bmw, 3 Series,2007,Manual,130000,Petrol,200,44.8,2.0
27990,audi, Q3,2019,Manual,500,Petrol,145,39.8,1.5
17900,bmw, X1,2016,Semi-Auto,18713,Diesel,150,55.4,2.0
20248,merc, CLA Class,2016,Automatic,28916,Diesel,20,67.3,2.1
23950,audi, A3,2019,Semi-Auto,4876,Diesel,145,52.3,1.6
15981,bmw, 1 Series,2017,Manual,44426,Petrol,150,52.3,1.5
32450,audi, Q7,2015,Semi-Auto,31997,Diesel,200,47.9,3.0
31299,merc, C Class,2019,Semi-Auto,4233,Diesel,145,64.2,2.0
18798,merc, A Class,2018,Automatic,12697,Diesel,145,68.9,1.5
38990,merc, GLS Class,2017,Semi-Auto,23510,Diesel,150,37.2,3.0
28990,audi, A5,2019,Automatic,2248,Petrol,145,39.8,2.0
34981,merc, C Class,2017,Semi-Auto,28174,Petrol,300,33.6,4.0
25495,audi, A3,2017,Semi-Auto,19215,Petrol,145,43.5,2.0
16000,audi, TT,2015,Manual,43724,Diesel,20,67.3,2.0
27498,merc, C Class,2016,Semi-Auto,37941,Petrol,260,35.8,3.0
22980,bmw, 1 Series,2019,Manual,3744,Petrol,145,44.1,1.5
16595,audi, Q2,2017,Manual,25777,Petrol,125,52.3,1.4
46002,merc, GLS Class,2017,Automatic,28416,Diesel,145,37.2,3.0
23989,merc, E Class,2018,Automatic,51223,Diesel,150,70.6,2.0
20999,merc, GL Class,2018,Automatic,2880,Diesel,145,56.5,2.1
18690,merc, GLA Class,2016,Semi-Auto,30898,Diesel,125,56.6,2.1
38490,merc, E Class,2020,Semi-Auto,1499,Diesel,145,57.7,2.0
10490,merc, A Class,2015,Semi-Auto,49816,Diesel,0,70.6,1.5
31599,merc, C Class,2019,Semi-Auto,3784,Diesel,145,55.4,2.0
30649,merc, GLC Class,2019,Semi-Auto,5909,Diesel,145,56.5,2.1
30850,audi, A5,2020,Semi-Auto,4000,Diesel,145,47.1,2.0
27499,merc, GL Class,2014,Automatic,53407,Diesel,325,35.3,3.0
19998,merc, CL Class,2015,Semi-Auto,29682,Diesel,20,62.8,2.1
24490,audi, A4,2019,Automatic,1293,Diesel,145,48.7,2.0
13999,bmw, X1,2016,Manual,30466,Diesel,20,68.9,2.0
25995,audi, Q3,2018,Semi-Auto,9185,Petrol,145,48.7,1.4
36950,bmw, X3,2019,Automatic,2500,Diesel,145,54.3,2.0
29980,merc, C Class,2019,Semi-Auto,2986,Diesel,145,53.3,2.0
27990,merc, GL Class,2017,Automatic,28000,Diesel,200,47.9,2.1
30981,audi, Q5,2017,Semi-Auto,18331,Petrol,145,40.4,2.0
27057,audi, Q7,2016,Automatic,60569,Diesel,200,47.9,3.0
16990,bmw, 1 Series,2016,Automatic,26000,Petrol,235,37.7,3.0
19047,bmw, 3 Series,2017,Automatic,16844,Diesel,145,56.5,3.0
25750,audi, TT,2017,Manual,33249,Petrol,235,38.7,2.0
23798,bmw, 4 Series,2018,Semi-Auto,8781,Diesel,145,55.4,3.0
30990,audi, Q3,2020,Automatic,1500,Diesel,145,47.1,2.0
28799,merc, GLE Class,2016,Semi-Auto,36500,Diesel,260,42.8,3.0
20495,audi, A4,2019,Semi-Auto,4781,Petrol,150,40.9,2.0
11990,merc, E Class,2014,Automatic,68835,Diesel,125,58.9,2.1
18495,audi, A5,2016,Manual,25000,Diesel,125,57.6,2.0
3995,bmw, Z3,1999,Manual,51949,Petrol,255,35.3,1.9
15000,audi, Q3,2016,Manual,22279,Diesel,30,61.4,2.0
25749,merc, C Class,2019,Semi-Auto,13873,Diesel,145,61.4,2.0
37900,merc, GLC Class,2018,Semi-Auto,17609,Petrol,145,34.0,3.0
