price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
25895,skoda, Superb,2020,Automatic,3463,Diesel,145,61.4,2.0
34950,audi, Q3,2019,Automatic,3225,Petrol,145,30.7,2.0
17000,ford, Kuga,2018,Manual,30646,Diesel,145,60.1,2.0
11990,vauxhall, Mokka X,2018,Manual,29998,Petrol,150,39.2,1.4
29990,audi, Q3,2020,Manual,5000,Diesel,145,40.9,2.0
7650,ford, Fiesta,2017,Manual,44000,Diesel,0,78.5,1.5
17995,bmw, 4 Series,2015,Semi-Auto,44800,Diesel,145,53.3,3.0
20370,merc, A Class,2018,Semi-Auto,14729,Petrol,145,53.3,1.3
11950,vw, Polo,2016,Semi-Auto,12100,Petrol,20,60.1,1.2
8500,audi, A3,2015,Manual,89060,Diesel,30,67.3,2.0
23495,merc, GLA Class,2014,Semi-Auto,27265,Petrol,235,37.7,2.0
45499,audi, A7,2019,Automatic,150,Diesel,145,38.2,3.0
10499,ford, Fiesta,2017,Manual,20811,Petrol,20,62.8,1.0
11500,audi, A3,2013,Manual,54553,Petrol,125,53.3,1.4
21498,hyundi, Tucson,2019,Manual,1550,Hybrid,145,51.4,1.6
20000,ford, Focus,2018,Manual,15448,Petrol,145,41.5,2.0
7995,toyota, Auris,2016,Manual,71106,Diesel,0,80.7,1.4
5408,hyundi, I30,2013,Manual,68728,Diesel,0,76.3,1.6
19640,merc, GLA Class,2016,Automatic,14502,Diesel,125,56.5,2.1
8500,ford, S-MAX,2013,Manual,39704,Diesel,145,54.3,1.6
20990,vw, T-Roc,2020,Manual,5000,Other,145,44.1,1.0
11440,ford, Fiesta,2017,Semi-Auto,5890,Petrol,145,54.3,1.0
18286,bmw, X1,2016,Semi-Auto,35300,Diesel,125,57.6,2.0
11498,vauxhall, Mokka X,2017,Manual,15592,Petrol,145,42.2,1.6
43099,merc, E Class,2019,Semi-Auto,1000,Diesel,145,46.3,3.0
12795,merc, E Class,2014,Semi-Auto,54358,Diesel,125,58.9,2.1
11841,vauxhall, Astra,2017,Semi-Auto,9939,Petrol,125,50.4,1.4
9400,bmw, 1 Series,2017,Manual,65681,Diesel,20,70.6,2.0
21799,vw, Tiguan,2018,Semi-Auto,17372,Petrol,145,40.4,1.4
13000,vw, Tiguan,2016,Manual,29800,Diesel,125,56.5,2.0
6545,ford, Focus,2013,Manual,47738,Diesel,20,67.3,1.6
20250,vw, Golf,2019,Manual,99,Diesel,145,55.4,2.0
