price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
34950,audi, Q3,2019,Automatic,3225,Petrol,145,30.7,2.0
29990,audi, Q3,2020,Manual,5000,Diesel,145,40.9,2.0
17995,bmw, 4 Series,2015,Semi-Auto,44800,Diesel,145,53.3,3.0
20370,merc, A Class,2018,Semi-Auto,14729,Petrol,145,53.3,1.3
8500,audi, A3,2015,Manual,89060,Diesel,30,67.3,2.0
23495,merc, GLA Class,2014,Semi-Auto,27265,Petrol,235,37.7,2.0
45499,audi, A7,2019,Automatic,150,Diesel,145,38.2,3.0
11500,audi, A3,2013,Manual,54553,Petrol,125,53.3,1.4
19640,merc, GLA Class,2016,Automatic,14502,Diesel,125,56.5,2.1
18286,bmw, X1,2016,Semi-Auto,35300,Diesel,125,57.6,2.0
43099,merc, E Class,2019,Semi-Auto,1000,Diesel,145,46.3,3.0
12795,merc, E Class,2014,Semi-Auto,54358,Diesel,125,58.9,2.1
9400,bmw, 1 Series,2017,Manual,65681,Diesel,20,70.6,2.0
25000,merc, C Class,2019,Semi-Auto,481,Petrol,145,45.6,1.5
5695,bmw, 3 Series,2009,Semi-Auto,110931,Diesel,160,51.4,2.0
28490,audi, Q3,2020,Manual,10,Petrol,145,39.8,1.5
13500,merc, A Class,2014,Automatic,38313,Diesel,30,64.2,1.8
17600,merc, GLA Class,2016,Automatic,33540,Diesel,125,56.5,2.1
34370,bmw, 3 Series,2019,Automatic,123,Diesel,145,50.4,2.0
27990,audi, A4,2019,Automatic,6000,Petrol,145,40.9,2.0
39991,merc, C Class,2019,Automatic,1987,Petrol,145,44.1,2.0
11392,audi, A1,2016,Manual,31479,Petrol,30,57.6,1.4
15178,merc, A Class,2017,Semi-Auto,21470,Diesel,20,74.3,1.5
16000,merc, GLA Class,2017,Manual,34635,Diesel,30,64.2,0.0
19899,bmw, 3 Series,2017,Automatic,28091,Hybrid,135,134.5,2.0
24491,merc, E Class,2019,Semi-Auto,10764,Diesel,145,72.4,2.0
18048,merc, SL CLASS,2017,Automatic,24529,Diesel,30,70.6,2.1
11670,audi, A3,2017,Manual,63829,Diesel,150,68.9,1.6
12999,audi, A5,2014,Automatic,92764,Diesel,145,53.3,2.0
18950,bmw, 2 Series,2016,Automatic,22537,Petrol,260,37.2,3.0
25490,bmw, 1 Series,2019,Semi-Auto,5379,Petrol,145,39.8,3.0
30000,merc, E Class,2019,Semi-Auto,12638,Diesel,150,58.9,2.0
11861,bmw, 1 Series,2017,Manual,23268,Diesel,0,78.5,1.5
18990,bmw, 1 Series,2019,Semi-Auto,4539,Diesel,145,70.6,2.0
33000,audi, TT,2020,Automatic,2500,Petrol,150,34.9,2.0
6500,bmw, 5 Series,2010,Automatic,129000,Diesel,205,46.3,3.0
13491,audi, A4,2015,Manual,54644,Diesel,30,61.4,2.0
56990,audi, Q8,2018,Semi-Auto,18782,Diesel,145,32.8,3.0
14000,bmw, 5 Series,2015,Semi-Auto,52281,Diesel,30,62.8,2.0
10495,bmw, 5 Series,2013,Semi-Auto,83380,Diesel,125,57.6,2.0
34485,audi, Q3,2019,Automatic,10,Diesel,145,47.1,2.0
17600,bmw, 4 Series,2016,Automatic,20444,Diesel,30,65.7,2.0
35980,merc, GLC Class,2020,Semi-Auto,3999,Diesel,145,44.8,2.0
17480,merc, GLA Class,2016,Semi-Auto,21011,Diesel,125,56.6,2.1
14800,bmw, 4 Series,2015,Automatic,33627,Diesel,145,56.5,2.0
20990,merc, C Class,2016,Semi-Auto,14704,Petrol,150,49.6,2.0
21750,merc, GLA Class,2019,Semi-Auto,6586,Petrol,150,44.8,1.6
30990,audi, A6,2019,Automatic,2200,Diesel,145,47.9,2.0
17200,merc, A Class,2017,Automatic,23593,Petrol,145,53.3,1.6
28599,merc, C Class,2019,Semi-Auto,970,Diesel,145,60.1,1.6
19300,bmw, X1,2016,Semi-Auto,25300,Diesel,125,60.1,2.0
40649,merc, C Class,2019,Semi-Auto,11300,Petrol,145,30.4,3.0
41000,merc, GLE Class,2018,Semi-Auto,4267,Diesel,145,36.7,3.0
10570,bmw, 3 Series,2015,Manual,59020,Diesel,125,57.6,2.0
27700,bmw, 4 Series,2019,Manual,110,Petrol,145,46.3,2.0
27950,audi, A5,2019,Automatic,3584,Diesel,145,49.6,2.0
11350,bmw, 1 Series,2016,Manual,44000,Diesel,20,72.4,1.5
27999,merc, C Class,2019,Automatic,3817,Diesel,145,60.1,1.6
18449,merc, C Class,2016,Semi-Auto,23077,Diesel,30,64.2,2.1
36699,merc, E Class,2019,Semi-Auto,5065,Diesel,145,48.7,3.0
15995,merc, A Class,2017,Semi-Auto,10839,Petrol,145,55.4,1.6
14500,audi, A3,2016,Manual,27209,Petrol,30,56.5,1.2
30728,audi, A5,2019,Semi-Auto,5712,Diesel,145,51.4,2.0
25799,merc, C Class,2019,Semi-Auto,13571,Diesel,145,61.4,2.0
14991,bmw, 1 Series,2016,Semi-Auto,17236,Diesel,20,68.9,1.5
30995,audi, Q5,2018,Semi-Auto,24408,Petrol,145,40.4,2.0
66990,merc, C Class,2019,Automatic,9625,Petrol,145,28.0,4.0
33995,audi, A3,2019,Semi-Auto,3243,Petrol,145,34.5,2.0
30990,audi, A4,2020,Semi-Auto,4454,Petrol,145,38.2,2.0
38191,merc, GLE Class,2017,Automatic,19157,Petrol,145,32.8,3.0
31975,bmw, 6 Series,2015,Automatic,38509,Petrol,555,28.5,4.4
13550,merc, A Class,2016,Manual,18304,Diesel,20,72.4,1.5
20990,merc, A Class,2019,Semi-Auto,15059,Diesel,145,67.3,1.5
25500,bmw, 3 Series,2017,Semi-Auto,14834,Diesel,145,51.4,3.0
23990,bmw, 3 Series,2020,Manual,16,Diesel,145,56.5,2.0
43981,merc, GLC Class,2019,Automatic,6750,Petrol,145,31.7,2.0
33490,audi, A3,2019,Automatic,6000,Petrol,145,33.2,2.0
18349,audi, TT,2017,Semi-Auto,56876,Petrol,145,42.8,2.0
25495,merc, C Class,2019,Automatic,4040,Petrol,145,44.1,1.6
23995,merc, C Class,2017,Automatic,33867,Diesel,150,58.9,2.1
10020,audi, A1,2016,Manual,36843,Diesel,0,76.3,1.6
23888,audi, Q2,2020,Manual,4000,Petrol,145,43.5,1.5
42888,audi, S4,2019,Automatic,1481,Diesel,145,39.2,3.0
29999,bmw, 5 Series,2019,Semi-Auto,6737,Petrol,150,48.7,2.0
23490,audi, A5,2017,Semi-Auto,20891,Diesel,125,60.1,3.0
30500,audi, A3,2019,Semi-Auto,4723,Petrol,145,34.9,2.0
29491,audi, A5,2020,Semi-Auto,34,Diesel,145,50.4,2.0
15290,merc, GLA Class,2016,Manual,42365,Diesel,20,64.2,2.1
28990,merc, E Class,2019,Automatic,20,Diesel,145,72.4,2.0
31000,audi, Q5,2019,Automatic,10250,Diesel,145,38.2,2.0
15999,bmw, 5 Series,2016,Automatic,31228,Diesel,30,62.8,2.0
17047,merc, A Class,2017,Semi-Auto,14951,Diesel,145,68.9,2.1
24749,merc, E Class,2019,Semi-Auto,14360,Diesel,145,72.4,2.0
9000,bmw, 3 Series,2013,Manual,73070,Diesel,30,61.4,2.0
57980,bmw, 7 Series,2020,Semi-Auto,3301,Diesel,145,41.5,3.0
23000,audi, A3,2015,Automatic,32497,Petrol,205,39.8,2.0
28980,bmw, 5 Series,2019,Semi-Auto,3445,Diesel,150,60.1,2.0
23299,merc, E Class,2017,Semi-Auto,24000,Diesel,145,65.7,2.0
17490,bmw, 4 Series,2014,Automatic,20030,Petrol,165,44.1,2.0
30470,audi, A5,2019,Semi-Auto,701,Diesel,150,50.4,2.0
32495,merc, E Class,2019,Automatic,999,Diesel,145,70.6,2.0
25992,audi, A4,2019,Automatic,3300,Diesel,145,48.7,2.0
13900,bmw, 1 Series,2016,Manual,8411,Diesel,30,65.7,2.0
19150,audi, A3,2018,Manual,15937,Petrol,145,53.3,1.5
72995,merc, S Class,2018,Semi-Auto,9740,Petrol,145,34.0,4.0
29849,merc, C Class,2017,Semi-Auto,23555,Petrol,145,36.2,3.0
9000,audi, A1,2016,Manual,37539,Diesel,0,76.3,1.6
26500,audi, A5,2019,Automatic,3797,Diesel,145,50.4,2.0
27490,bmw, 3 Series,2019,Semi-Auto,13994,Petrol,145,42.2,2.0
25490,merc, A Class,2019,Automatic,6108,Diesel,145,56.5,2.0
21995,merc, GLC Class,2016,Semi-Auto,44759,Diesel,125,56.5,2.1
51990,bmw, X5,2019,Semi-Auto,12,Diesel,145,37.7,3.0
39940,audi, A8,2019,Semi-Auto,3442,Diesel,145,40.4,3.0
23439,audi, Q2,2019,Manual,50,Petrol,145,43.5,1.5
45995,merc, GLE Class,2019,Automatic,6500,Diesel,145,36.7,2.0
14999,bmw, X3,2014,Automatic,47925,Diesel,160,50.4,2.0
10900,bmw, 1 Series,2016,Manual,29733,Petrol,125,53.3,1.5
27890,merc, SL CLASS,2018,Automatic,1565,Petrol,145,47.1,2.0
13750,bmw, 4 Series,2015,Manual,34457,Petrol,160,44.8,2.0
35722,merc, GLC Class,2019,Automatic,8380,Diesel,145,44.8,2.0
10799,merc, C Class,2015,Manual,76157,Petrol,125,51.4,2.0
14499,merc, A Class,2016,Manual,22181,Diesel,20,68.9,1.5
15342,bmw, 2 Series,2016,Manual,37828,Petrol,205,42.8,2.0
24741,merc, GLC Class,2016,Semi-Auto,42300,Diesel,125,56.5,2.1
27990,audi, A4,2019,Automatic,2260,Petrol,145,38.7,2.0
15699,merc, C Class,2017,Manual,15252,Petrol,145,53.3,2.0
9495,audi, A4,2011,Manual,55000,Petrol,200,39.8,1.8
24500,audi, A3,2019,Semi-Auto,2246,Petrol,145,43.5,1.5
30380,merc, E Class,2018,Semi-Auto,13947,Petrol,145,40.4,2.0
24900,merc, A Class,2020,Automatic,400,Petrol,145,28.5,1.3
14999,merc, A Class,2017,Manual,21733,Diesel,145,68.9,1.5
25799,merc, C Class,2019,Semi-Auto,1000,Petrol,145,45.6,1.5
30000,audi, A6,2019,Automatic,5000,Diesel,145,47.9,2.0
16189,bmw, 3 Series,2015,Automatic,30345,Diesel,125,58.9,2.0
53990,bmw, X3,2019,Automatic,3961,Petrol,145,24.8,3.0
16495,merc, B Class,2017,Semi-Auto,26847,Diesel,20,68.9,2.1
18447,merc, GLA Class,2017,Automatic,54961,Diesel,145,56.5,2.1
26450,bmw, 5 Series,2018,Automatic,16455,Petrol,145,37.7,2.0
24990,audi, Q3,2019,Manual,6000,Petrol,145,40.9,1.5
17600,merc, CL Class,2016,Semi-Auto,35000,Petrol,125,53.3,1.6
12400,bmw, 1 Series,2017,Manual,19454,Diesel,145,72.4,1.5
13298,merc, A Class,2016,Automatic,85627,Diesel,20,68.9,2.1
23990,merc, GLC Class,2017,Semi-Auto,34000,Diesel,125,56.5,2.1
20049,merc, E Class,2016,Semi-Auto,24242,Diesel,20,72.4,2.0
33995,bmw, 3 Series,2020,Semi-Auto,4500,Diesel,145,50.4,2.0
