Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Afghanistan,33.0,65.0,2020-05-03,2704,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-02,2469,AFG,142,34,
,Afghanistan,33.0,65.0,2020-05-01,2335,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-30,2171,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-29,1939,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-28,1828,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-27,1703,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-26,1531,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-25,1463,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-24,1351,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-23,1279,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-22,1176,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-21,1092,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-20,1026,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-19,996,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-18,933,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-17,906,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-16,840,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-15,784,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-14,714,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-13,665,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-12,607,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-11,555,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-10,521,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-09,484,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-08,444,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-07,423,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-06,367,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-05,349,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-04,299,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-03,281,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-02,273,AFG,142,34,
,Afghanistan,33.0,65.0,2020-04-01,237,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-31,174,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-30,170,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-29,120,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-28,110,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-27,110,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-26,94,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-25,84,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-24,74,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-23,40,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-22,40,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-21,24,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-20,24,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-19,22,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-18,22,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-17,22,AFG,142,34,
,Afghanistan,33.0,65.0,2020-03-16,21,AFG,142,34,
