ALERT,SAR,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP
1,0,3,110300,5,757,PA,10,153.8,1538, ,7,2,0,308.98,0,5,76.9,0,0,1,1,45.82,5,6000,0,3,0,6,1,0
1,0,2,107800,6,715,NY,22,1.59,34.98,card replace billing address billing address,11,2,0,3.28,1,4,60,25.02,1,2,1,67.4,0,10000,1,3,0,87,0,0
1,0,1,74000,13,751,MA,7,57.64,403.48,billing address   customer call,4,0,0,0,0,4,796.63,393.15,1,2,1,450.69,0,10000,0,3,0,6,0,0
1,0,0,57700,1,659,NJ,14,29.52,413.28, ,7,2,0,59.14,1,3,413.28,0,0,1,1,71.43,0,8000,1,5,0,7,2,0
1,0,1,59800,3,709,PA,54,115.77,6251.58,change request statement late payment bitcoin,16,7,2,785.85,2,3,8928.41,2676.83,1,2,1,2731.39,3,7000,1,1,0,8,1,0
1,0,1,43500,11,717,CT,18,36.11,649.98, ,11,1,1,29,0,3,649.98,0,0,1,1,26.66,0,9000,0,2,1,3,2,0
1,0,0,70200,9,720,ME,17,55.38,941.46,late payment password change customer call,7,2,0,110.92,1,5,941.46,0,0,1,1,19.89,2,13000,1,4,0,6,1,0
1,1,1,5900,1,772,MA,0,36.88,0,transfer   statement overseas atm,0,0,0,0,0,3,2758.76,2758.76,1,1,1,2758.76,3,11000,0,4,0,3,0,0
1,0,1,11400,43,727,NY,2,159.05,318.1,billing address statement transfer bitcoin,1,0,0,0,0,3,3003.87,2685.77,1,2,1,2747.92,3,15000,1,2,0,4,2,0
1,0,1,36700,12,735,PA,86,37.25,3203.5,transfer   statement,41,13,2,486.21,6,3,3203.5,0,0,1,1,38.12,3,7000,0,8,0,10,0,0
1,0,0,43700,4,660,CT,19,6.49,123.31, ,14,6,0,39,5,2,147.38,24.07,1,1,1,79.11,0,11000,1,3,1,10,2,0
1,0,3,70700,36,616,RI,42,51.23,2151.66,billing address transfer password change,24,5,1,250.68,3,3,2151.66,0,0,1,1,30.62,3,5000,0,0,0,9,2,0
1,0,2,63500,15,725,PA,30,156.57,4697.1, ,17,2,0,318.56,0,3,4697.1,0,0,1,1,58.95,3,18000,0,2,1,7,0,0
1,1,0,72900,7,701,CT,71,243.27,17272.17,change request transfer late payment moneyorder payment,41,9,0,2197.53,2,4,17272.17,0,0,1,1,34.57,4,7000,1,5,0,5,0,0
1,0,1,18400,58,731,PA,5,26.54,132.7, ,4,0,0,0,0,3,132.7,0,0,1,1,62.94,0,15000,1,3,0,4,1,0
1,0,3,142900,39,638,NY,122,46.76,5704.72, ,64,17,3,777.76,7,6,5704.72,0,0,1,1,43.85,6,6000,1,0,0,9,0,0
1,1,2,13500,114,689,PA,1,259.01,259.01,password change card replace plastic replace moneyorder,0,0,0,0,0,5,2703.4,2444.39,1,1,1,2487.16,5,10000,0,5,1,8,1,0
1,0,1,91400,6,758,ME,104,193.33,20106.32,transfer transfer password change atm denied,46,9,0,1731.24,2,3,22796.64,2690.32,1,2,1,2711.41,3,14000,0,1,0,6,2,0
1,0,1,87800,7,756,MA,3,58.94,176.82, ,3,0,0,0,0,2,176.82,0,0,1,1,31.96,0,10000,0,3,0,5,0,0
1,0,0,44900,16,734,ME,13,26.74,347.62, ,7,2,1,44.93,0,2,347.62,0,0,1,1,26.92,0,11000,0,2,0,6,1,0
1,0,1,18600,27,783,NY,9,124.1,1116.9, ,7,2,1,226.71,0,4,1116.9,0,0,1,1,51.2,2,11000,1,3,0,9,1,0
1,0,1,99100,20,671,MA,12,11.83,141.96, ,6,3,0,34.32,2,3,141.96,0,0,1,1,39,0,10000,1,3,0,8,2,0
1,0,1,,1,673,NY,7,327.97,2295.79,card replace card replace billing address statement,3,0,0,0,0,2,2295.79,0,0,1,1,48.19,0,9000,1,5,0,5,1,0
1,0,3,31500,49,689,CT,23,160.84,3699.32, ,11,3,0,483.39,2,6,3699.32,0,0,1,1,118.14,6,11000,0,4,0,10,0,0
1,0,1,77500,4,753,RI,13,312.76,4065.88, ,7,1,0,311.65,0,3,4065.88,0,0,1,1,51.06,3,9000,0,4,0,8,1,0
1,0,2,17300,60,747,CT,4,979.91,3919.64,  late payment customer call statement,2,0,0,0,0,5,195.98,0,0,1,1,67.25,0,10000,0,1,0,5,0,0
1,0,2,17500,3,728,NY,4,207.66,830.64, ,1,0,0,0,0,2,60,0,0,1,1,47.97,0,18000,1,8,0,9,0,0
1,0,1,45700,72,715,CT,5,60.51,302.55, ,2,0,0,0,0,5,302.55,0,0,1,1,52.88,0,10000,1,4,0,8,1,0
1,0,2,146300,27,756,NY,34,291.35,9905.9, ,17,2,1,580.46,0,4,495.3,0,0,1,1,31.65,4,18000,1,3,0,8,2,0
1,0,2,28700,18,678,RI,7,10.83,75.81,transfer statement late payment,3,2,1,22.95,1,4,60,0,0,1,1,42.71,1,7000,1,1,1,8,0,0
1,1,2,122100,2,684,NY,88,18.74,1649.12,plastic replace password change statement,46,7,2,130.95,2,3,2548.9,899.78,1,4,1,951.42,3,9000,0,4,0,11,0,0
1,0,2,90700,15,697,PA,24,136.9,3285.6,  customer call card replace,11,2,0,269.22,2,2,164.28,0,0,1,1,42.6,1,12000,0,1,0,6,0,0
1,0,2,19400,16,724,NY,16,19.55,312.8, ,6,2,0,40.28,1,5,617.84,305.04,1,2,1,335.79,2,10000,0,4,0,9,2,0
1,0,0,85400,6,719,CT,17,96.28,1636.76,statement card replace billing address,6,1,0,97.5,1,5,1636.76,0,0,1,1,72.69,1,11000,0,0,0,10,3,0
1,0,0,35500,18,792,NJ,38,153.75,5842.5, ,20,6,0,923.46,3,2,7032.27,1189.77,1,1,1,1280.27,2,10000,1,1,0,7,0,0
