fname,cycle,sound,location
set_a/normal__201102081321.wav,1,S1,10021
set_a/normal__201102081321.wav,1,S2,20759
set_a/normal__201102081321.wav,2,S1,35075
set_a/normal__201102081321.wav,2,S2,47244
set_a/normal__201102081321.wav,3,S1,62992
set_a/normal__201102081321.wav,3,S2,73729
set_a/normal__201102081321.wav,4,S1,88761
set_a/normal__201102081321.wav,4,S2,101646
set_a/normal__201102081321.wav,5,S1,115246
set_a/normal__201102081321.wav,5,S2,127415
set_a/normal__201102081321.wav,6,S1,143163
set_a/normal__201102081321.wav,6,S2,153900
set_a/normal__201102081321.wav,7,S1,168216
set_a/normal__201102081321.wav,7,S2,180385
set_a/normal__201102081321.wav,8,S1,195417
set_a/normal__201102081321.wav,8,S2,206155
set_a/normal__201102081321.wav,9,S1,220471
set_a/normal__201102081321.wav,9,S2,231924
set_a/normal__201102081321.wav,10,S1,272010
set_a/normal__201102081321.wav,10,S2,283463
set_a/normal__201102081321.wav,11,S1,297779
set_a/normal__201102081321.wav,11,S2,309232
set_a/normal__201102081321.wav,12,S1,324264
set_a/normal__201102081321.wav,12,S2,335001
set_a/normal__201102260502.wav,1,S1,11526
set_a/normal__201102260502.wav,1,S2,27941
set_a/normal__201102260502.wav,2,S1,42197
set_a/normal__201102260502.wav,2,S2,58163
set_a/normal__201102260502.wav,3,S1,71278
set_a/normal__201102260502.wav,3,S2,88955
set_a/normal__201102260502.wav,4,S1,102641
set_a/normal__201102260502.wav,4,S2,122028
set_a/normal__201102260502.wav,5,S1,134573
set_a/normal__201102260502.wav,5,S2,152821
set_a/normal__201102260502.wav,6,S1,184753
set_a/normal__201102260502.wav,6,S2,197869
set_a/normal__201102260502.wav,7,S1,216686
set_a/normal__201102260502.wav,7,S2,230942
set_a/normal__201102260502.wav,8,S1,251211
set_a/normal__201102260502.wav,8,S2,265168
set_a/normal__201103090635.wav,1,S1,5366
set_a/normal__201103090635.wav,1,S2,17632
set_a/normal__201103090635.wav,2,S1,31432
set_a/normal__201103090635.wav,2,S2,44464
set_a/normal__201103090635.wav,3,S1,59030
set_a/normal__201103090635.wav,3,S2,71296
set_a/normal__201103090635.wav,4,S1,86629
set_a/normal__201103090635.wav,4,S2,99661
set_a/normal__201103090635.wav,5,S1,116527
set_a/normal__201103090635.wav,5,S2,128793
set_a/normal__201103090635.wav,6,S1,144125
set_a/normal__201103090635.wav,6,S2,156391
set_a/normal__201103090635.wav,7,S1,174024
set_a/normal__201103090635.wav,7,S2,185523
set_a/normal__201103090635.wav,8,S1,200856
set_a/normal__201103090635.wav,8,S2,213122
set_a/normal__201103090635.wav,9,S1,226154
set_a/normal__201103090635.wav,9,S2,239187
set_a/normal__201103090635.wav,10,S1,252220
set_a/normal__201103090635.wav,10,S2,265252
set_a/normal__201103090635.wav,11,S1,277518
set_a/normal__201103090635.wav,11,S2,290551
set_a/normal__201103090635.wav,12,S1,303583
set_a/normal__201103090635.wav,12,S2,315849
set_a/normal__201103090635.wav,13,S1,329649
set_a/normal__201103090635.wav,13,S2,342681
set_a/normal__201103140132.wav,1,S1,16358
set_a/normal__201103140132.wav,1,S2,29272
set_a/normal__201103140132.wav,2,S1,89539
set_a/normal__201103140132.wav,2,S2,105036
set_a/normal__201103140132.wav,3,S1,128282
set_a/normal__201103140132.wav,3,S2,142057
set_a/normal__201103140132.wav,4,S1,170469
set_a/normal__201103140132.wav,4,S2,183383
set_a/normal__201103140132.wav,5,S1,207490
set_a/normal__201103140132.wav,5,S2,221265
set_a/normal__201103140132.wav,6,S1,242789
set_a/normal__201103140132.wav,6,S2,256564
set_a/normal__201103140132.wav,7,S1,279810
set_a/normal__201103140132.wav,7,S2,292725
set_a/normal__201103140132.wav,8,S1,320275
set_a/normal__201103140132.wav,8,S2,334911
set_a/normal__201103140132.wav,9,S1,363323
set_a/normal__201103140132.wav,9,S2,377098
set_a/normal__201103140822.wav,1,S1,3444
set_a/normal__201103140822.wav,1,S2,18080
set_a/normal__201103140822.wav,2,S1,44770
set_a/normal__201103140822.wav,2,S2,58545
set_a/normal__201103140822.wav,3,S1,84374
set_a/normal__201103140822.wav,3,S2,98149
set_a/normal__201103140822.wav,4,S1,123977
set_a/normal__201103140822.wav,4,S2,134309
set_a/normal__201103140822.wav,5,S1,157555
set_a/normal__201103140822.wav,5,S2,175635
set_a/normal__201103140822.wav,6,S1,195437
set_a/normal__201103140822.wav,6,S2,214378
set_a/normal__201103151912.wav,1,S1,3244
set_a/normal__201103151912.wav,1,S2,12053
set_a/normal__201103151912.wav,2,S1,25829
set_a/normal__201103151912.wav,2,S2,61128
set_a/normal__201103151912.wav,3,S1,79208
set_a/normal__201103151912.wav,3,S2,96427
set_a/normal__201103151912.wav,4,S1,117090
set_a/normal__201103151912.wav,4,S2,133448
set_a/normal__201103151912.wav,5,S1,152389
set_a/normal__201103151912.wav,5,S2,167886
set_a/normal__201103151912.wav,6,S1,202324
set_a/normal__201103151912.wav,6,S2,222987
set_a/normal__201103221214.wav,1,S1,27831
set_a/normal__201103221214.wav,1,S2,39095
set_a/normal__201103221214.wav,2,S1,54667
set_a/normal__201103221214.wav,2,S2,65601
set_a/normal__201103221214.wav,3,S1,81173
set_a/normal__201103221214.wav,3,S2,92769
set_a/normal__201103221214.wav,4,S1,108341
set_a/normal__201103221214.wav,4,S2,119605
set_a/normal__201103221214.wav,5,S1,135509
set_a/normal__201103221214.wav,5,S2,146442
set_a/normal__201104141251.wav,1,S1,21189
set_a/normal__201104141251.wav,1,S2,32879
set_a/normal__201104141251.wav,2,S1,51876
set_a/normal__201104141251.wav,2,S2,64297
set_a/normal__201104141251.wav,3,S1,83294
set_a/normal__201104141251.wav,3,S2,96446
set_a/normal__201104141251.wav,4,S1,116904
set_a/normal__201104141251.wav,4,S2,129326
set_a/normal__201104141251.wav,5,S1,149053
set_a/normal__201104141251.wav,5,S2,162205
set_a/normal__201104141251.wav,6,S1,180471
set_a/normal__201104141251.wav,6,S2,192623
set_a/normal__201104141251.wav,7,S1,211889
set_a/normal__201104141251.wav,7,S2,225041
set_a/normal__201104141251.wav,8,S1,245499
set_a/normal__201104141251.wav,8,S2,257920
set_a/normal__201104141251.wav,9,S1,279109
set_a/normal__201104141251.wav,9,S2,290800
set_a/normal__201105011626.wav,1,S1,2855
set_a/normal__201105011626.wav,1,S2,15497
set_a/normal__201105011626.wav,2,S1,23246
set_a/normal__201105011626.wav,2,S2,35299
set_a/normal__201105011626.wav,3,S1,43048
set_a/normal__201105011626.wav,3,S2,55962
set_a/normal__201105011626.wav,4,S1,63711
set_a/normal__201105011626.wav,4,S2,75764
set_a/normal__201105011626.wav,5,S1,84374
set_a/normal__201105011626.wav,5,S2,96427
set_a/normal__201105011626.wav,6,S1,105036
set_a/normal__201105011626.wav,6,S2,116229
set_a/normal__201105011626.wav,7,S1,124838
set_a/normal__201105011626.wav,7,S2,136031
set_a/normal__201105011626.wav,8,S1,143779
set_a/normal__201105011626.wav,8,S2,164899
set_a/normal__201105011626.wav,9,S1,155833
set_a/normal__201105011626.wav,9,S2,177357
set_a/normal__201105011626.wav,10,S1,184244
set_a/normal__201105011626.wav,10,S2,196298
set_a/normal__201105011626.wav,11,S1,205768
set_a/normal__201105011626.wav,11,S2,216100
set_a/normal__201105011626.wav,12,S1,224709
set_a/normal__201105011626.wav,12,S2,237623
set_a/normal__201105011626.wav,13,S1,245372
set_a/normal__201105011626.wav,13,S2,257425
set_a/normal__201105011626.wav,14,S1,266035
set_a/normal__201105011626.wav,14,S2,278949
set_a/normal__201105011626.wav,15,S1,287559
set_a/normal__201105011626.wav,15,S2,302195
set_a/normal__201105011626.wav,16,S1,307361
set_a/normal__201105011626.wav,16,S2,321136
set_a/normal__201105011626.wav,17,S1,328885
set_a/normal__201105011626.wav,17,S2,338355
set_a/normal__201105011626.wav,18,S1,347826
set_a/normal__201105011626.wav,18,S2,360740
set_a/normal__201105011626.wav,19,S1,381403
set_a/normal__201105011626.wav,19,S2,389151
set_a/normal__201105021654.wav,1,S1,24481
set_a/normal__201105021654.wav,1,S2,39781
set_a/normal__201105021654.wav,2,S1,79563
set_a/normal__201105021654.wav,2,S2,94863
set_a/normal__201105021654.wav,3,S1,126229
set_a/normal__201105021654.wav,3,S2,140765
set_a/normal__201105021654.wav,4,S1,169836
set_a/normal__201105021654.wav,4,S2,185136
set_a/normal__201105021654.wav,5,S1,215737
set_a/normal__201105021654.wav,5,S2,230273
