dataset,fname,label,sublabel
a,set_a/artifact__201012172012.wav,artifact,
a,set_a/artifact__201105040918.wav,artifact,
a,set_a/artifact__201105041959.wav,artifact,
a,set_a/artifact__201105051017.wav,artifact,
a,set_a/artifact__201105060108.wav,artifact,
a,set_a/artifact__201105061143.wav,artifact,
a,set_a/artifact__201105190800.wav,artifact,
a,set_a/artifact__201105280851.wav,artifact,
a,set_a/artifact__201106010559.wav,artifact,
a,set_a/artifact__201106010602.wav,artifact,
a,set_a/artifact__201106021541.wav,artifact,
a,set_a/artifact__201106030612.wav,artifact,
a,set_a/artifact__201106031558.wav,artifact,
a,set_a/artifact__201106040722.wav,artifact,
a,set_a/artifact__201106040933.wav,artifact,
a,set_a/artifact__201106040947.wav,artifact,
a,set_a/artifact__201106041452.wav,artifact,
a,set_a/artifact__201106050353.wav,artifact,
a,set_a/artifact__201106061233.wav,artifact,
a,set_a/artifact__201106070537.wav,artifact,
a,set_a/artifact__201106070949.wav,artifact,
a,set_a/artifact__201106101314.wav,artifact,
a,set_a/artifact__201106101955.wav,artifact,
a,set_a/artifact__201106110909.wav,artifact,
a,set_a/artifact__201106111119.wav,artifact,
a,set_a/artifact__201106121242.wav,artifact,
a,set_a/artifact__201106121445.wav,artifact,
a,set_a/artifact__201106131834.wav,artifact,
a,set_a/artifact__201106131835.wav,artifact,
a,set_a/artifact__201106141701.wav,artifact,
a,set_a/artifact__201106161016.wav,artifact,
a,set_a/artifact__201106161019.wav,artifact,
a,set_a/artifact__201106161219.wav,artifact,
a,set_a/artifact__201106171003.wav,artifact,
a,set_a/artifact__201106190520.wav,artifact,
a,set_a/artifact__201106211041.wav,artifact,
a,set_a/artifact__201106211430.wav,artifact,
a,set_a/artifact__201106212112.wav,artifact,
a,set_a/artifact__201106220340.wav,artifact,
a,set_a/artifact__201106221254.wav,artifact,
a,set_a/extrahls__201101070953.wav,extrahls,
a,set_a/extrahls__201101091153.wav,extrahls,
a,set_a/extrahls__201101152255.wav,extrahls,
a,set_a/extrahls__201101160804.wav,extrahls,
a,set_a/extrahls__201101160808.wav,extrahls,
a,set_a/extrahls__201101161027.wav,extrahls,
a,set_a/extrahls__201101241423.wav,extrahls,
a,set_a/extrahls__201101241433.wav,extrahls,
a,set_a/extrahls__201102070251.wav,extrahls,
a,set_a/extrahls__201102071835.wav,extrahls,
a,set_a/extrahls__201102241217.wav,extrahls,
a,set_a/extrahls__201103150114.wav,extrahls,
a,set_a/extrahls__201103170134.wav,extrahls,
a,set_a/extrahls__201103182227.wav,extrahls,
a,set_a/extrahls__201103200218.wav,extrahls,
a,set_a/extrahls__201104021355.wav,extrahls,
a,set_a/extrahls__201104140118.wav,extrahls,
a,set_a/extrahls__201104270458.wav,extrahls,
a,set_a/extrahls__201104270459.wav,extrahls,
a,set_a/murmur__201101051104.wav,murmur,
a,set_a/murmur__201101051108.wav,murmur,
a,set_a/murmur__201101051114.wav,murmur,
a,set_a/murmur__201101180902.wav,murmur,
a,set_a/murmur__201102051443.wav,murmur,
a,set_a/murmur__201102052338.wav,murmur,
a,set_a/murmur__201103291548.wav,murmur,
a,set_a/murmur__201104021355.wav,murmur,
a,set_a/murmur__201104241315.wav,murmur,
a,set_a/murmur__201104291843.wav,murmur,
a,set_a/murmur__201106141148.wav,murmur,
a,set_a/murmur__201108222221.wav,murmur,
a,set_a/murmur__201108222223.wav,murmur,
a,set_a/murmur__201108222224.wav,murmur,
a,set_a/murmur__201108222226.wav,murmur,
a,set_a/murmur__201108222227.wav,murmur,
a,set_a/murmur__201108222231.wav,murmur,
a,set_a/murmur__201108222232.wav,murmur,
a,set_a/murmur__201108222233.wav,murmur,
a,set_a/murmur__201108222235.wav,murmur,
a,set_a/murmur__201108222236.wav,murmur,
a,set_a/murmur__201108222237.wav,murmur,
a,set_a/murmur__201108222238.wav,murmur,
a,set_a/murmur__201108222242.wav,murmur,
a,set_a/murmur__201108222243.wav,murmur,
a,set_a/murmur__201108222245.wav,murmur,
a,set_a/murmur__201108222246.wav,murmur,
a,set_a/murmur__201108222248.wav,murmur,
a,set_a/murmur__201108222251.wav,murmur,
a,set_a/murmur__201108222252.wav,murmur,
a,set_a/murmur__201108222253.wav,murmur,
a,set_a/murmur__201108222255.wav,murmur,
a,set_a/murmur__201108222256.wav,murmur,
a,set_a/murmur__201108222258.wav,murmur,
a,set_a/normal__201101070538.wav,normal,
a,set_a/normal__201101151127.wav,normal,
a,set_a/normal__201102081152.wav,normal,
a,set_a/normal__201102081321.wav,normal,
a,set_a/normal__201102201230.wav,normal,
a,set_a/normal__201102260502.wav,normal,
a,set_a/normal__201102270940.wav,normal,
a,set_a/normal__201103090635.wav,normal,
a,set_a/normal__201103101140.wav,normal,
a,set_a/normal__201103140132.wav,normal,
a,set_a/normal__201103140135.wav,normal,
a,set_a/normal__201103140822.wav,normal,
a,set_a/normal__201103151912.wav,normal,
a,set_a/normal__201103170121.wav,normal,
a,set_a/normal__201103221214.wav,normal,
a,set_a/normal__201104122156.wav,normal,
a,set_a/normal__201104141251.wav,normal,
a,set_a/normal__201105011626.wav,normal,
a,set_a/normal__201105021654.wav,normal,
a,set_a/normal__201105021804.wav,normal,
a,set_a/normal__201105151450.wav,normal,
a,set_a/normal__201106111136.wav,normal,
a,set_a/normal__201106141148.wav,normal,
a,set_a/normal__201106151236.wav,normal,
a,set_a/normal__201106210943.wav,normal,
a,set_a/normal__201106221418.wav,normal,
a,set_a/normal__201106221450.wav,normal,
a,set_a/normal__201108011112.wav,normal,
a,set_a/normal__201108011114.wav,normal,
a,set_a/normal__201108011115.wav,normal,
a,set_a/normal__201108011118.wav,normal,
a,set_a/__201012172010.wav,,
a,set_a/__201101051105.wav,,
a,set_a/__201101061552.wav,,
a,set_a/__201101091156.wav,,
a,set_a/__201101110659.wav,,
a,set_a/__201101152256.wav,,
a,set_a/__201101220549.wav,,
a,set_a/__201101241434.wav,,
a,set_a/__201102081033.wav,,
a,set_a/__201102081045.wav,,
a,set_a/__201102200848.wav,,
a,set_a/__201103011036.wav,,
a,set_a/__201103140236.wav,,
a,set_a/__201103170122.wav,,
a,set_a/__201103200518.wav,,
a,set_a/__201103201314.wav,,
a,set_a/__201103232251.wav,,
a,set_a/__201103241336.wav,,
a,set_a/__201104012144.wav,,
a,set_a/__2011040239.wav,,
a,set_a/__201105011546.wav,,
a,set_a/__20110501548.wav,,
a,set_a/__201105031730.wav,,
a,set_a/__201106010807.wav,,
a,set_a/__201106030607.wav,,
a,set_a/__201106031556.wav,,
a,set_a/__201106040930.wav,,
a,set_a/__201106061104.wav,,
a,set_a/__201106061215.wav,,
a,set_a/__201106100606.wav,,
a,set_a/__201106111419.wav,,
a,set_a/__201106120928.wav,,
a,set_a/__201106130440.wav,,
a,set_a/__201106150614.wav,,
a,set_a/__201106170857.wav,,
a,set_a/__201106171155.wav,,
a,set_a/__201106191034.wav,,
a,set_a/__201106211725.wav,,
a,set_a/__201106212102.wav,,
a,set_a/__201108011111.wav,,
a,set_a/__201108011113.wav,,
a,set_a/__201108011116.wav,,
a,set_a/__201108011117.wav,,
a,set_a/__201108222222.wav,,
a,set_a/__201108222225.wav,,
a,set_a/__201108222228.wav,,
a,set_a/__201108222234.wav,,
a,set_a/__201108222241.wav,,
a,set_a/__201108222244.wav,,
a,set_a/__201108222247.wav,,
a,set_a/__201108222254.wav,,
a,set_a/__201108222257.wav,,
